Sample_Name,Depth,DO,Temperature,pH,Secchi Depth
CBE29JUN05,2.5,,,,
CBH29JUN05,0,6.6,25.1,,
CBH29JUN05,0.5,6.6,24.9,,
CBH29JUN05,1,6.1,24.4,,
CBH29JUN05,1.5,4.6,22.4,,
CBH29JUN05,2,0.8,19.5,,
CBH29JUN05,2.5,,,,
CBE06JUL05,0,6.4,22.7,,
CBE06JUL05,0.5,7.3,22.1,,
CBE06JUL05,1,6.3,21.6,,
CBE06JUL05,1.5,6.4,21.4,,
CBE06JUL05,2,0.8,18.7,,
CBE06JUL05,2.5,,,,
CBH06JUL05,0,6.4,22.7,,
CBH06JUL05,0.5,7.3,22.1,,
CBH06JUL05,1,6.3,21.6,,
CBH06JUL05,1.5,6.4,21.4,,
CBH06JUL05,2,0.8,18.7,,
CBH06JUL05,2.5,,,,
CBE13JUL05,0,,,,
CBE13JUL05,0.5,,,,
CBE13JUL05,1,,,,
CBE13JUL05,1.5,,,,
CBE13JUL05,2,,,,
CBE13JUL05,2.5,,,,
CBH13JUL05,0,,,,
CBH13JUL05,0.5,,,,
CBH13JUL05,1,,,,
CBH13JUL05,1.5,,,,
CBH13JUL05,2,,,,
CBH13JUL05,2.5,,,,
CBE20JUL05,0,,,,
CBE20JUL05,0.5,,,,
CBE20JUL05,1,,,,
CBE20JUL05,1.5,,,,
CBE20JUL05,2,,,,
CBE20JUL05,2.5,,,,
CBH20JUL05,0,,,,
CBH20JUL05,0.5,,,,
CBH20JUL05,1,,,,
CBH20JUL05,1.5,,,,
CBH20JUL05,2,,,,
CBH20JUL05,2.5,,,,
CBE27JUL05,0,7.3,24.7,,
CBE27JUL05,0.5,7.3,24.2,,
CBE27JUL05,1,8,22.6,,
CBE27JUL05,1.5,6.3,22.1,,
CBE27JUL05,2,3.1,21.4,,
CBE27JUL05,2.5,,,,
CBH27JUL05,0,7.3,24.7,,
CBH27JUL05,0.5,7.3,24.2,,
CBH27JUL05,1,8,22.6,,
CBH27JUL05,1.5,6.3,22.1,,
CBH27JUL05,2,3.1,21.4,,
CBH27JUL05,2.5,,,,
CBE03AUG05,0,7.8,27.7,,
CBE03AUG05,0.5,7.9,27,,
CBE03AUG05,1,7,25.1,,
CBE03AUG05,1.5,6.1,22.9,,
CBE03AUG05,2,0.7,20.4,,
CBE03AUG05,2.5,,,,
CBH03AUG05,0,7.8,27.7,,
CBH03AUG05,0.5,7.9,27,,
CBH03AUG05,1,7,25.1,,
CBH03AUG05,1.5,6.1,22.9,,
CBH03AUG05,2,0.7,20.4,,
CBH03AUG05,2.5,,,,
CBE11AUG05,0,7.5,23.6,,
CBE11AUG05,0.5,7.5,23.7,,
CBE11AUG05,1,6.9,23.5,,
CBE11AUG05,1.5,5.8,23.1,,
CBE11AUG05,2,0.4,21,,
CBE11AUG05,2.5,,,,
CBH11AUG05,0,7.5,23.6,,
CBH11AUG05,0.5,7.5,23.7,,
CBH11AUG05,1,6.9,23.5,,
CBH11AUG05,1.5,5.8,23.1,,
CBH11AUG05,2,0.4,21,,
CBH11AUG05,2.5,,,,
CBE18AUG05,0,,,,
CBE18AUG05,0.5,,,,
CBE18AUG05,1,,,,
CBE18AUG05,1.5,,,,
CBE18AUG05,2,,,,
CBE18AUG05,2.5,,,,
CBH18AUG05,0,,,,
CBH18AUG05,0.5,,,,
CBH18AUG05,1,,,,
CBH18AUG05,1.5,,,,
CBH18AUG05,2,,,,
CBH18AUG05,2.5,,,,
CBE24AUG05,0,,,,
CBE24AUG05,0.5,,,,
CBE24AUG05,1,,,,
CBE24AUG05,1.5,,,,
CBE24AUG05,2,,,,
CBE24AUG05,2.5,,,,
CBH24AUG05,0,,,,
CBH24AUG05,0.5,,,,
CBH24AUG05,1,,,,
CBH24AUG05,1.5,,,,
CBH24AUG05,2,,,,
CBH24AUG05,2.5,,,,
CBE30AUG05,0,,,,
CBE30AUG05,0.5,,,,
CBE30AUG05,1,,,,
CBE30AUG05,1.5,,,,
CBE30AUG05,2,,,,
CBE30AUG05,2.5,,,,
CBH30AUG05,0,,,,
CBH30AUG05,0.5,,,,
CBH30AUG05,1,,,,
CBH30AUG05,1.5,,,,
CBH30AUG05,2,,,,
CBH30AUG05,2.5,,,,
CBE05SEP05,0,9.01,16.4,,
CBE05SEP05,0.5,9.34,16.4,,
CBE05SEP05,1,9.34,16.3,,
CBE05SEP05,1.5,6.62,15.7,,
CBE05SEP05,2,5.29,15.2,,
CBE05SEP05,2.5,,,,
CBH05SEP05,0,9.01,16.4,,
CBH05SEP05,0.5,9.34,16.4,,
CBH05SEP05,1,9.34,16.3,,
CBH05SEP05,1.5,6.62,15.7,,
CBH05SEP05,2,5.29,15.2,,
CBH05SEP05,2.5,,,,
CBE13SEP05,0,7.64,19.1,,
CBE13SEP05,0.5,7.84,18.9,,
CBE13SEP05,1,8.02,18.8,,
CBE13SEP05,1.5,6.11,17.2,,
CBE13SEP05,2,3.09,15.9,,
CBE13SEP05,2.5,,,,
CBH13SEP05,0,7.64,19.1,,
CBH13SEP05,0.5,7.84,18.9,,
CBH13SEP05,1,8.02,18.8,,
CBH13SEP05,1.5,6.11,17.2,,
CBH13SEP05,2,3.09,15.9,,
CBH13SEP05,2.5,,,,
CBE20SEP05,0,5.93,16.8,,
CBE20SEP05,0.5,5.98,16.9,,
CBE20SEP05,1,6.13,17.2,,
CBE20SEP05,1.5,6.27,17.3,,
CBE20SEP05,2,6.54,17.1,,
CBE20SEP05,2.5,,,,
CBH20SEP05,0,5.93,16.8,,
CBH20SEP05,0.5,5.98,16.9,,
CBH20SEP05,1,6.13,17.2,,
CBH20SEP05,1.5,6.27,17.3,,
CBH20SEP05,2,6.54,17.1,,
CBH20SEP05,2.5,,,,
CBE25SEP05,0,7.21,15.5,,
CBE25SEP05,0.5,7.08,15.3,,
CBE25SEP05,1,7.08,15.5,,
CBE25SEP05,1.5,6.47,15.5,,
CBE25SEP05,2,6.36,15.7,,
CBE25SEP05,2.5,,,,
CBH25SEP05,0,7.21,15.5,,
CBH25SEP05,0.5,7.08,15.3,,
CBH25SEP05,1,7.08,15.5,,
CBH25SEP05,1.5,6.47,15.5,,
CBH25SEP05,2,6.36,15.7,,
CBH25SEP05,2.5,,,,
CBE04OCT05,0,,,,
CBE04OCT05,0.5,,,,
CBE04OCT05,1,,,,
CBE04OCT05,1.5,,,,
CBE04OCT05,2,,,,
CBE04OCT05,2.5,,,,
CBH04OCT05,0,,,,
CBH04OCT05,0.5,,,,
CBH04OCT05,1,,,,
CBH04OCT05,1.5,,,,
CBH04OCT05,2,,,,
CBH04OCT05,2.5,,,,
CBE09OCT05,0,6.22,15.1,,
CBE09OCT05,0.5,6.05,14,,
CBE09OCT05,1,5.44,13.4,,
CBE09OCT05,1.5,5.32,13,,
CBE09OCT05,2,5.2,12.9,,
CBE09OCT05,2.5,,,,
CBH09OCT05,0,6.22,15.1,,
CBH09OCT05,0.5,6.05,14,,
CBH09OCT05,1,5.44,13.4,,
CBH09OCT05,1.5,5.32,13,,
CBH09OCT05,2,5.2,12.9,,
CBH09OCT05,2.5,,,,
CBE18OCT05,0,,,,
CBE18OCT05,0.5,,,,
CBE18OCT05,1,,,,
CBE18OCT05,1.5,,,,
CBE18OCT05,2,,,,
CBE18OCT05,2.5,,,,
CBH18OCT05,0,,,,
CBH18OCT05,0.5,,,,
CBH18OCT05,1,,,,
CBH18OCT05,1.5,,,,
CBH18OCT05,2,,,,
CBH18OCT05,2.5,,,,
CBE04NOV05,0,,,,
CBE04NOV05,0.5,,,,
CBE04NOV05,1,,,,
CBE04NOV05,1.5,,,,
CBE04NOV05,2,,,,
CBE04NOV05,2.5,,,,
CBH04NOV05,0,,,,
CBH04NOV05,0.5,,,,
CBH04NOV05,1,,,,
CBH04NOV05,1.5,,,,
CBH04NOV05,2,,,,
CBH04NOV05,2.5,,,,
CBE18NOV05,0,,,,
CBE18NOV05,0.5,,,,
CBE18NOV05,1,,,,
CBE18NOV05,1.5,,,,
CBE18NOV05,2,,,,
CBE18NOV05,2.5,,,,
CBH18NOV05,0,,,,
CBH18NOV05,0.5,,,,
CBH18NOV05,1,,,,
CBH18NOV05,1.5,,,,
CBH18NOV05,2,,,,
CBH18NOV05,2.5,,,,
TBE01JUN05,0,9.2,20.4,,
TBE01JUN05,1,5.4,11.3,,
TBE01JUN05,2,1.2,6.2,,
TBE01JUN05,3,1.1,5.4,,
TBE01JUN05,4,1,4.9,,
TBE01JUN05,5,0.9,4.6,,
TBE01JUN05,6,0.9,4.5,,
TBE01JUN05,7,0.7,4.4,,
TBH01JUN05,0,9.2,20.4,,
TBH01JUN05,1,5.4,11.3,,
TBH01JUN05,2,1.2,6.2,,
TBH01JUN05,3,1.1,5.4,,
TBH01JUN05,4,1,4.9,,
TBH01JUN05,5,0.9,4.6,,
TBH01JUN05,6,0.9,4.5,,
TBH01JUN05,7,0.7,4.4,,
TBE08JUN05,0,7.7,21,,
TBE08JUN05,1,7,20,,
TBE08JUN05,2,0.7,10.8,,
TBE08JUN05,3,0.6,6.5,,
TBE08JUN05,4,0.6,5.5,,
TBE08JUN05,5,0.7,5.1,,
TBE08JUN05,6,0.8,4.9,,
TBE08JUN05,7,0.9,5.2,,
TBH08JUN05,0,7.7,21,,
TBH08JUN05,1,7,20,,
TBH08JUN05,2,0.7,10.8,,
TBH08JUN05,3,0.6,6.5,,
TBH08JUN05,4,0.6,5.5,,
TBH08JUN05,5,0.7,5.1,,
TBH08JUN05,6,0.8,4.9,,
TBH08JUN05,7,0.9,5.2,,
TBE15JUN05,0,6.1,20.6,,
TBE15JUN05,1,6.1,20.4,,
TBE15JUN05,2,0.6,10.9,,
TBE15JUN05,3,0.7,6.6,,
TBE15JUN05,4,0.5,5.3,,
TBE15JUN05,5,0.5,4.7,,
TBE15JUN05,6,0.5,4.6,,
TBE15JUN05,7,0.5,4.5,,
TBH15JUN05,0,6.1,20.6,,
TBH15JUN05,1,6.1,20.4,,
TBH15JUN05,2,0.6,10.9,,
TBH15JUN05,3,0.7,6.6,,
TBH15JUN05,4,0.5,5.3,,
TBH15JUN05,5,0.5,4.7,,
TBH15JUN05,6,0.5,4.6,,
TBH15JUN05,7,0.5,4.5,,
TBE22JUN05,0,7.8,24.4,,
TBE22JUN05,1,3.4,20.8,,
TBE22JUN05,2,0.5,11.9,,
TBE22JUN05,3,0.4,7.6,,
TBE22JUN05,4,0.4,6.1,,
TBE22JUN05,5,0.4,5.1,,
TBE22JUN05,6,0.4,4.9,,
TBE22JUN05,7,0.3,4.8,,
TBH22JUN05,0,7.8,24.4,,
TBH22JUN05,1,3.4,20.8,,
TBH22JUN05,2,0.5,11.9,,
TBH22JUN05,3,0.4,7.6,,
TBH22JUN05,4,0.4,6.1,,
TBH22JUN05,5,0.4,5.1,,
TBH22JUN05,6,0.4,4.9,,
TBH22JUN05,7,0.3,4.8,,
TBE29JUN05,0,6.5,23.9,,
TBE29JUN05,1,6.5,23.9,,
TBE29JUN05,2,5,23,,
TBE29JUN05,3,0.6,13.6,,
TBE29JUN05,4,0.4,8,,
TBE29JUN05,5,0.2,5.7,,
TBE29JUN05,6,0.2,5,,
TBE29JUN05,7,0.2,4.9,,
TBH29JUN05,0,6.5,23.9,,
TBH29JUN05,1,6.5,23.9,,
TBH29JUN05,2,5,23,,
TBH29JUN05,3,0.6,13.6,,
TBH29JUN05,4,0.4,8,,
TBH29JUN05,5,0.2,5.7,,
TBH29JUN05,6,0.2,5,,
TBH29JUN05,7,0.2,4.9,,
TBE06JUL05,0,6.5,21.4,,
TBE06JUL05,1,5.8,20.7,,
TBE06JUL05,2,1.4,14.1,,
TBE06JUL05,3,2.1,8.2,,
TBE06JUL05,4,2.7,6.3,,
TBE06JUL05,5,2.4,5.2,,
TBE06JUL05,6,2.4,5.1,,
TBE06JUL05,7,2.4,4.8,,
TBH06JUL05,0,6.5,21.4,,
TBH06JUL05,1,5.8,20.7,,
TBH06JUL05,2,1.4,14.1,,
TBH06JUL05,3,2.1,8.2,,
TBH06JUL05,4,2.7,6.3,,
TBH06JUL05,5,2.4,5.2,,
TBH06JUL05,6,2.4,5.1,,
TBH06JUL05,7,2.4,4.8,,
TBE13JUL05,0,6.6,29.6,,
TBE13JUL05,1,2.7,24,,
TBE13JUL05,2,1.6,14.5,,
TBE13JUL05,3,2.2,9.5,,
TBE13JUL05,4,2.1,6.4,,
TBE13JUL05,5,2.4,5.3,,
TBE13JUL05,6,2.4,4.9,,
TBE13JUL05,7,2.5,4.8,,
TBH13JUL05,0,6.6,29.6,,
TBH13JUL05,1,2.7,24,,
TBH13JUL05,2,1.6,14.5,,
TBH13JUL05,3,2.2,9.5,,
TBH13JUL05,4,2.1,6.4,,
TBH13JUL05,5,2.4,5.3,,
TBH13JUL05,6,2.4,4.9,,
TBH13JUL05,7,2.5,4.8,,
TBE20JUL05,0,5.6,24.4,,
TBE20JUL05,1,5.6,20.9,,
TBE20JUL05,2,0.6,14.1,,
TBE20JUL05,3,0.6,8.2,,
TBE20JUL05,4,0.8,6.6,,
TBE20JUL05,5,0.9,5.4,,
TBE20JUL05,6,,,,
TBE20JUL05,7,,,,
TBH20JUL05,0,5.6,24.4,,
TBH20JUL05,1,5.6,20.9,,
TBH20JUL05,2,0.6,14.1,,
TBH20JUL05,3,0.6,8.2,,
TBH20JUL05,4,0.8,6.6,,
TBH20JUL05,5,0.9,5.4,,
TBH20JUL05,6,,,,
TBH20JUL05,7,,,,
TBE27JUL05,0,6.6,20.6,,
TBE27JUL05,1,6.4,18.7,,
TBE27JUL05,2,1.7,12.7,,
TBE27JUL05,3,2.2,4.3,,
TBE27JUL05,4,1.9,4.3,,
TBE27JUL05,5,2,3.8,,
TBE27JUL05,6,1.9,4,,
TBE27JUL05,7,0.7,4.4,,
TBH27JUL05,0,6.6,20.6,,
TBH27JUL05,1,6.4,18.7,,
TBH27JUL05,2,1.7,12.7,,
TBH27JUL05,3,2.2,4.3,,
TBH27JUL05,4,1.9,4.3,,
TBH27JUL05,5,2,3.8,,
TBH27JUL05,6,1.9,4,,
TBH27JUL05,7,0.7,4.4,,
TBE03AUG05,0,7,26.8,,
TBE03AUG05,1,4.9,22.7,,
TBE03AUG05,2,0.4,15,,
TBE03AUG05,3,0.5,6.5,,
TBE03AUG05,4,0.7,4.9,,
TBE03AUG05,5,0.7,4.3,,
TBE03AUG05,6,0.7,4.1,,
TBE03AUG05,7,2.4,5.2,,
TBH03AUG05,0,7,26.8,,
TBH03AUG05,1,4.9,22.7,,
TBH03AUG05,2,0.4,15,,
TBH03AUG05,3,0.5,6.5,,
TBH03AUG05,4,0.7,4.9,,
TBH03AUG05,5,0.7,4.3,,
TBH03AUG05,6,0.7,4.1,,
TBH03AUG05,7,2.4,5.2,,
TBE11AUG05,0,7.4,28.1,,
TBE11AUG05,1,7.1,23.7,,
TBE11AUG05,2,1.5,16.7,,
TBE11AUG05,3,2.6,8.1,,
TBE11AUG05,4,2.6,6.2,,
TBE11AUG05,5,2.6,5.5,,
TBE11AUG05,6,2.5,5.2,,
TBE11AUG05,7,6.5,1.8,,
TBH11AUG05,0,7.4,28.1,,
TBH11AUG05,1,7.1,23.7,,
TBH11AUG05,2,1.5,16.7,,
TBH11AUG05,3,2.6,8.1,,
TBH11AUG05,4,2.6,6.2,,
TBH11AUG05,5,2.6,5.5,,
TBH11AUG05,6,2.5,5.2,,
TBH11AUG05,7,6.5,1.8,,
TBE18AUG05,0,,,,
TBE18AUG05,1,,,,
TBE18AUG05,2,,,,
TBE18AUG05,3,,,,
TBE18AUG05,4,,,,
TBE18AUG05,5,,,,
TBE18AUG05,6,,,,
TBE18AUG05,7,,,,
TBH18AUG05,0,,,,
TBH18AUG05,1,,,,
TBH18AUG05,2,,,,
TBH18AUG05,3,,,,
TBH18AUG05,4,,,,
TBH18AUG05,5,,,,
TBH18AUG05,6,,,,
TBH18AUG05,7,,,,
TBE24AUG05,0,6.7,17.5,,
TBE24AUG05,1,6.8,14.3,,
TBE24AUG05,2,0.6,11,,
TBE24AUG05,3,0.7,1.9,,
TBE24AUG05,4,,,,
TBE24AUG05,5,,,,
TBE24AUG05,6,,,,
TBE24AUG05,7,,,,
TBH24AUG05,0,6.7,17.5,,
TBH24AUG05,1,6.8,14.3,,
TBH24AUG05,2,0.6,11,,
TBH24AUG05,3,0.7,1.9,,
TBH24AUG05,4,,,,
TBH24AUG05,5,,,,
TBH24AUG05,6,,,,
TBH24AUG05,7,,,,
TBE30AUG05,0,8.63,20.7,,
TBE30AUG05,1,8.42,15,,
TBE30AUG05,2,0.47,7.4,,
TBE30AUG05,3,0.63,5.7,,
TBE30AUG05,4,0.74,5.7,,
TBE30AUG05,5,0.81,4.2,,
TBE30AUG05,6,0.8,3.3,,
TBE30AUG05,7,0.83,3.2,,
TBH30AUG05,0,8.63,20.7,,
TBH30AUG05,1,8.42,15,,
TBH30AUG05,2,0.47,7.4,,
TBH30AUG05,3,0.63,5.7,,
TBH30AUG05,4,0.74,5.7,,
TBH30AUG05,5,0.81,4.2,,
TBH30AUG05,6,0.8,3.3,,
TBH30AUG05,7,0.83,3.2,,
TBE05SEP05,0,8.15,23.1,,
TBE05SEP05,1,8.01,15.7,,
TBE05SEP05,2,0.37,11.6,,
TBE05SEP05,3,0.42,7.6,,
TBE05SEP05,4,0.42,7.6,,
TBE05SEP05,5,0.46,5.7,,
TBE05SEP05,6,0.54,5,,
TBE05SEP05,7,0.57,4.6,,
TBH05SEP05,0,8.15,23.1,,
TBH05SEP05,1,8.01,15.7,,
TBH05SEP05,2,0.37,11.6,,
TBH05SEP05,3,0.42,7.6,,
TBH05SEP05,4,0.42,7.6,,
TBH05SEP05,5,0.46,5.7,,
TBH05SEP05,6,0.54,5,,
TBH05SEP05,7,0.57,4.6,,
TBE13SEP05,0,8.71,19.7,,
TBE13SEP05,1,8.5,12.9,,
TBE13SEP05,2,0.47,6.8,,
TBE13SEP05,3,0.6,5.8,,
TBE13SEP05,4,0.57,5.8,,
TBE13SEP05,5,0.66,4.4,,
TBE13SEP05,6,0.65,3.9,,
TBE13SEP05,7,0.66,3.9,,
TBH13SEP05,0,8.71,19.7,,
TBH13SEP05,1,8.5,12.9,,
TBH13SEP05,2,0.47,6.8,,
TBH13SEP05,3,0.6,5.8,,
TBH13SEP05,4,0.57,5.8,,
TBH13SEP05,5,0.66,4.4,,
TBH13SEP05,6,0.65,3.9,,
TBH13SEP05,7,0.66,3.9,,
TBE20SEP05,0,8.02,19.2,,
TBE20SEP05,1,7.06,15.7,,
TBE20SEP05,2,0.49,12.1,,
TBE20SEP05,3,0.5,9.1,,
TBE20SEP05,4,0.55,9.1,,
TBE20SEP05,5,0.52,7.3,,
TBE20SEP05,6,0.56,5.7,,
TBE20SEP05,7,0.71,5.5,,
TBH20SEP05,0,8.02,19.2,,
TBH20SEP05,1,7.06,15.7,,
TBH20SEP05,2,0.49,12.1,,
TBH20SEP05,3,0.5,9.1,,
TBH20SEP05,4,0.55,9.1,,
TBH20SEP05,5,0.52,7.3,,
TBH20SEP05,6,0.56,5.7,,
TBH20SEP05,7,0.71,5.5,,
TBE25SEP05,0,8.04,11.5,,
TBE25SEP05,1,7.87,10.3,,
TBE25SEP05,2,1.53,5.3,,
TBE25SEP05,3,0.61,1.6,,
TBE25SEP05,4,0.68,1.6,,
TBE25SEP05,5,0.74,0.3,,
TBE25SEP05,6,0.86,-0.4,,
TBE25SEP05,7,0.85,-1,,
TBH25SEP05,0,8.04,11.5,,
TBH25SEP05,1,7.87,10.3,,
TBH25SEP05,2,1.53,5.3,,
TBH25SEP05,3,0.61,1.6,,
TBH25SEP05,4,0.68,1.6,,
TBH25SEP05,5,0.74,0.3,,
TBH25SEP05,6,0.86,-0.4,,
TBH25SEP05,7,0.85,-1,,
TBE04OCT05,0,,,,
TBE04OCT05,1,,,,
TBE04OCT05,2,,,,
TBE04OCT05,3,,,,
TBE04OCT05,4,,,,
TBE04OCT05,5,,,,
TBE04OCT05,6,,,,
TBE04OCT05,7,,,,
TBH04OCT05,0,,,,
TBH04OCT05,1,,,,
TBH04OCT05,2,,,,
TBH04OCT05,3,,,,
TBH04OCT05,4,,,,
TBH04OCT05,5,,,,
TBH04OCT05,6,,,,
TBH04OCT05,7,,,,
TBE09OCT05,0,7.12,15.8,,
TBE09OCT05,1,5.54,11.4,,
TBE09OCT05,2,6.01,10.6,,
TBE09OCT05,3,0.19,6.8,,
TBE09OCT05,4,0.13,6.8,,
TBE09OCT05,5,0.12,5.3,,
TBE09OCT05,6,0.11,5,,
TBE09OCT05,7,0.11,4.7,,
TBH09OCT05,0,7.12,15.8,,
TBH09OCT05,1,5.54,11.4,,
TBH09OCT05,2,6.01,10.6,,
TBH09OCT05,3,0.19,6.8,,
TBH09OCT05,4,0.13,6.8,,
TBH09OCT05,5,0.12,5.3,,
TBH09OCT05,6,0.11,5,,
TBH09OCT05,7,0.11,4.7,,
TBE17OCT05,0,10.75,10.4,,
TBE17OCT05,1,9.15,10.1,,
TBE17OCT05,2,8.79,9.9,,
TBE17OCT05,3,6.46,8.5,,
TBE17OCT05,4,1.36,8.5,,
TBE17OCT05,5,1.5,6.2,,
TBE17OCT05,6,1.63,5.4,,
TBE17OCT05,7,1.7,4.6,,
TBH17OCT05,0,10.75,10.4,,
TBH17OCT05,1,9.15,10.1,,
TBH17OCT05,2,8.79,9.9,,
TBH17OCT05,3,6.46,8.5,,
TBH17OCT05,4,1.36,8.5,,
TBH17OCT05,5,1.5,6.2,,
TBH17OCT05,6,1.63,5.4,,
TBH17OCT05,7,1.7,4.6,,
TBE04NOV05,0,,,,
TBE04NOV05,1,,,,
TBE04NOV05,2,,,,
TBE04NOV05,3,,,,
TBE04NOV05,4,,,,
TBE04NOV05,5,,,,
TBE04NOV05,6,,,,
TBE04NOV05,7,,,,
TBH04NOV05,0,,,,
TBH04NOV05,1,,,,
TBH04NOV05,2,,,,
TBH04NOV05,3,,,,
TBH04NOV05,4,,,,
TBH04NOV05,5,,,,
TBH04NOV05,6,,,,
TBH04NOV05,7,,,,
TBE18NOV05,0,,,,
TBE18NOV05,1,,,,
TBE18NOV05,2,,,,
TBE18NOV05,3,,,,
TBE18NOV05,4,,,,
TBE18NOV05,5,,,,
TBE18NOV05,6,,,,
TBE18NOV05,7,,,,
TBH18NOV05,0,,,,
TBH18NOV05,1,,,,
TBH18NOV05,2,,,,
TBH18NOV05,3,,,,
TBH18NOV05,4,,,,
TBH18NOV05,5,,,,
TBH18NOV05,6,,,,
TBH18NOV05,7,,,,
MAE01JUN05,0,7.6,19.9,,
MAE01JUN05,1,7.7,19.7,,
MAE01JUN05,2,7.4,11.1,,
MAE01JUN05,3,1,5.6,,
MAE01JUN05,4,0.8,4.8,,
MAE01JUN05,5,0.6,4.8,,
MAE01JUN05,6,0.6,4.8,,
MAE01JUN05,7,0.5,4.7,,
MAE01JUN05,8,0.5,4.7,,
MAE01JUN05,9,0.4,4.7,,
MAE01JUN05,10,0.4,4.7,,
MAE01JUN05,11,0.4,4.7,,
MAE01JUN05,12,0.4,4.7,,
MAE01JUN05,13,0.4,4.7,,
MAE01JUN05,14,,,,
MAE01JUN05,15,,,,
MAE01JUN05,18,,,,
MAE01JUN05,20,,,,
MAH01JUN05,0,7.6,19.9,,
MAH01JUN05,1,7.7,19.7,,
MAH01JUN05,2,7.4,11.1,,
MAH01JUN05,3,1,5.6,,
MAH01JUN05,4,0.8,4.8,,
MAH01JUN05,5,0.6,4.8,,
MAH01JUN05,6,0.6,4.8,,
MAH01JUN05,7,0.5,4.7,,
MAH01JUN05,8,0.5,4.7,,
MAH01JUN05,9,0.4,4.7,,
MAH01JUN05,10,0.4,4.7,,
MAH01JUN05,11,0.4,4.7,,
MAH01JUN05,12,0.4,4.7,,
MAH01JUN05,13,0.4,4.7,,
MAH01JUN05,14,,,,
MAH01JUN05,15,,,,
MAH01JUN05,18,,,,
MAH01JUN05,20,,,,
MAE08JUN05,0,,,,
MAE08JUN05,1,,,,
MAE08JUN05,2,,,,
MAE08JUN05,3,,,,
MAE08JUN05,4,,,,
MAE08JUN05,5,,,,
MAE08JUN05,6,,,,
MAE08JUN05,7,,,,
MAE08JUN05,8,,,,
MAE08JUN05,9,,,,
MAE08JUN05,10,,,,
MAE08JUN05,11,,,,
MAE08JUN05,12,,,,
MAE08JUN05,13,,,,
MAE08JUN05,14,,,,
MAE08JUN05,15,,,,
MAE08JUN05,18,,,,
MAE08JUN05,20,,,,
MAH08JUN05,0,,,,
MAH08JUN05,1,,,,
MAH08JUN05,2,,,,
MAH08JUN05,3,,,,
MAH08JUN05,4,,,,
MAH08JUN05,5,,,,
MAH08JUN05,6,,,,
MAH08JUN05,7,,,,
MAH08JUN05,8,,,,
MAH08JUN05,9,,,,
MAH08JUN05,10,,,,
MAH08JUN05,11,,,,
MAH08JUN05,12,,,,
MAH08JUN05,13,,,,
MAH08JUN05,14,,,,
MAH08JUN05,15,,,,
MAH08JUN05,18,,,,
MAH08JUN05,20,,,,
MAE15JUN05,0,7.5,22.3,,
MAE15JUN05,1,7.8,20.7,,
MAE15JUN05,2,5.9,12.8,,
